year,state,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,alabama,42847,856940,77278.162,35100.75,0.211,0.085,0.034,0.014,0.54,0.062,0.726,234662.739,166974.436,-2126.812,40382.539,48518.843,0.589,0.411,NA,NA,0.139,0.738,0.261,0,0.177,3.678,47.131,448.374,0.005,0.004,0.002,0.001,0.003,0,0.003,0.005,0.017
1960,alaska,2750,55000,97790.092,36482.414,0.17,0.062,0.026,0.012,0.527,0.244,0.697,187199.257,236162.528,3572.022,66925.968,47580.207,0.456,0.544,NA,NA,0.258,0.83,0.03,0.001,0.086,3.48,40.23,4025.317,0.032,0.019,0.008,0.003,0.019,0.378,0.025,0.03,0.028
1960,arizona,17694,353880,108872.732,45300.973,0.218,0.087,0.036,0.014,0.558,0.069,0.729,280238.536,236346.705,0,54434.901,64127.141,0.625,0.375,NA,NA,0.247,0.92,0.034,0.003,0.151,3.463,45.635,1082.775,0.007,0.004,0.001,0.001,0.004,0.001,0.006,0.006,0.021
1960,arkansas,25150,503000,73961.529,35263.136,0.161,0.059,0.023,0.009,0.507,0.072,0.689,147355.794,176916.02,-1981.737,32873.483,41309.995,0.602,0.398,NA,NA,0.132,0.812,0.187,0,0.168,3.412,49.749,1649.743,0.018,0.012,0.007,0.002,0.011,0.002,0.014,0.018,0.019
1960,california,237916,4758320,141314.694,60621.91,0.224,0.088,0.036,0.014,0.559,0.058,0.743,387565.887,293638.34,-2229.737,63436.406,85868.095,0.565,0.435,NA,NA,0.281,0.931,0.049,0.001,0.184,3.079,46.396,1547.357,0.009,0.006,0.003,0.001,0.005,0.001,0.006,0.009,0.02
1960,colorado,25152,503040,115446.314,54631.22,0.188,0.076,0.031,0.012,0.51,0.074,0.702,340424.299,259862.158,0,55193.805,70814.371,0.619,0.381,NA,NA,0.271,0.973,0.021,0,0.168,3.234,46.781,2122.111,0.011,0.005,0.002,0.001,0.009,0.001,0.011,0.009,0.02
1960,connecticut,33892,677840,193005.47,71671.496,0.288,0.117,0.047,0.019,0.619,0.053,0.8,630810.916,338062.529,0,69666.291,110371.491,0.577,0.423,NA,NA,0.228,0.963,0.036,0,0.155,3.306,47.127,17581.975,0.042,0.017,0.007,0.003,0.037,0.005,0.047,0.033,0.009
1960,delaware,6212,124240,130939.136,58960.749,0.218,0.082,0.033,0.013,0.547,0.079,0.717,307720.543,269417.148,0,62859.162,79525.077,0.658,0.342,NA,NA,0.214,0.874,0.123,0,0.159,3.392,45.88,2708.307,0.016,0.015,0.006,0.002,0.009,0.002,0.012,0.018,0.028
1960,district of columbia,12115,242300,114314.917,19279.328,0.315,0.128,0.052,0.021,0.681,0.02,0.845,401825.084,231409.722,-3858.237,63214.795,44517.105,0.271,0.729,NA,NA,0.305,0.56,0.433,0,0.321,2.88,46.54,5795.455,0.03,0.013,0.005,0.002,0.016,0.001,0.023,0.025,0.007
1960,florida,74080,1481600,117124.563,53580.166,0.21,0.084,0.034,0.014,0.534,0.073,0.716,284154.2,247713.024,-1770.46,48362.255,73169.303,0.661,0.339,NA,NA,0.203,0.851,0.147,0,0.179,3.144,48.472,1052.731,0.007,0.005,0.002,0.001,0.004,0.001,0.005,0.007,0.021
1960,georgia,51696,1033920,84638.569,33943.443,0.228,0.093,0.037,0.015,0.571,0.047,0.756,263570.026,186351.053,-2443.561,43967.348,51630.217,0.55,0.45,NA,NA,0.156,0.752,0.248,0,0.182,3.632,46.151,579.589,0.005,0.004,0.002,0.001,0.003,0,0.004,0.005,0.016
1960,hawaii,7318,146360,127038.248,27808.356,0.237,0.094,0.038,0.015,0.606,0.025,0.79,308628.382,295575.147,-3130.354,62985.077,75990.546,0.386,0.614,NA,NA,0.201,0.362,0.007,0.005,0.129,3.885,43.052,2803.7,0.014,0.013,0.005,0.002,0.009,0.001,0.012,0.013,0.017
1960,idaho,9210,184200,119200.973,64111.222,0.126,0.043,0.017,0.007,0.446,0.095,0.632,179087.288,288946.443,0,46884.485,73348.468,0.693,0.307,NA,NA,0.222,0.988,0.003,0,0.127,3.427,47.243,5968.112,0.037,0.02,0.008,0.003,0.026,0.004,0.033,0.032,0.03
1960,illinois,140999,2819980,160848.872,53455.355,0.32,0.131,0.053,0.021,0.631,0.048,0.829,823583.949,272303.443,-2685.753,62371.222,90481.988,0.54,0.46,NA,NA,0.201,0.907,0.09,0,0.17,3.204,47.382,20502.278,0.067,0.028,0.011,0.005,0.05,0.006,0.065,0.053,0.012
1960,indiana,66737,1334740,107347.713,59074.958,0.173,0.066,0.026,0.011,0.47,0.105,0.648,242982.747,228768.7,2298.387,53665.818,66707.307,0.699,0.301,NA,NA,0.165,0.95,0.049,0,0.153,3.303,47.478,1525.867,0.011,0.011,0.005,0.002,0.008,0.002,0.009,0.011,0.023
1960,iowa,40397,807940,114653.949,64441.022,0.15,0.055,0.021,0.009,0.444,0.104,0.629,197531.592,255064.723,0,46414.76,60709.518,0.68,0.32,NA,NA,0.178,0.991,0.008,0,0.157,3.234,49.409,2408.812,0.017,0.013,0.007,0.003,0.012,0.002,0.014,0.016,0.024
1960,kansas,32429,648580,111683.128,55830.6,0.168,0.067,0.027,0.011,0.48,0.09,0.667,245009.651,251481.298,0,49554.231,58537.428,0.679,0.321,NA,NA,0.219,0.962,0.036,0,0.16,3.181,48.669,2673.666,0.017,0.008,0.003,0.001,0.012,0.002,0.015,0.015,0.023
1960,kentucky,41178,823560,86483.694,39774.483,0.197,0.08,0.032,0.013,0.51,0.075,0.699,235231.486,187431.701,0,40690.906,48543.167,0.63,0.37,NA,NA,0.129,0.928,0.072,0,0.158,3.504,48.244,638.66,0.006,0.006,0.003,0.001,0.004,0.001,0.005,0.006,0.017
1960,louisiana,42248,844960,91446.599,34938.942,0.23,0.094,0.038,0.015,0.576,0.05,0.757,260467.803,199180.645,-2368.763,43088.296,59286.666,0.57,0.43,NA,NA,0.154,0.712,0.286,0,0.186,3.634,46.59,561.111,0.005,0.004,0.002,0.001,0.003,0,0.003,0.004,0.017
1960,maine,12706,254120,79766.048,39577.568,0.149,0.057,0.022,0.009,0.468,0.251,0.653,147189.274,182963.131,0,44055.497,49583.391,0.632,0.368,NA,NA,0.152,0.996,0.003,0,0.168,3.36,48.384,1421.134,0.015,0.012,0.008,0.003,0.009,0.369,0.012,0.014,0.018
1960,maryland,41317,826340,123793.478,56969.323,0.23,0.094,0.038,0.015,0.541,0.076,0.727,363570.136,252573.658,0,63388.685,74367.143,0.629,0.371,NA,NA,0.215,0.853,0.145,0,0.155,3.507,45.62,2349.055,0.014,0.009,0.003,0.001,0.009,0.001,0.011,0.014,0.015
1960,massachusetts,67392,1347840,114647.075,45876.105,0.241,0.097,0.039,0.016,0.565,0.048,0.755,326993.588,237423.97,-1854.439,59425.125,67557.12,0.499,0.501,NA,NA,0.219,0.977,0.021,0,0.197,3.231,48.632,1807.812,0.01,0.006,0.002,0.001,0.007,0.001,0.009,0.009,0.016
1960,michigan,106351,2127020,128555.497,68404.53,0.215,0.089,0.036,0.015,0.499,0.108,0.68,344743.006,247299.574,3540.719,60218.474,83486.826,0.73,0.27,NA,NA,0.181,0.92,0.077,0,0.142,3.445,46.643,2913.171,0.017,0.009,0.004,0.001,0.011,0.002,0.014,0.017,0.014
1960,minnesota,46588,931760,128219.489,74232.628,0.169,0.066,0.026,0.011,0.455,0.106,0.64,244155.886,268888.741,0,51766.8,79865.08,0.704,0.296,NA,NA,0.202,0.99,0.006,0,0.154,3.391,48.582,1722.77,0.01,0.009,0.005,0.002,0.007,0.001,0.009,0.01,0.023
